Roll Number,Course Code 1,Course Code 2,Course Code 3,Course Code 4,Course Code 5
2001009,EC353,HS203,,,
2001020,MA204,,,,
2001021,EC353,,,,
2001028,CS235,,,,
2001039,CS231,CS235,,,
2001043,EC353,,,,
2001050,CS361,,,,
2001054,ECE353,HS203,,,
2001060,MA305,,,,
2001083,MA305,,,EC103,
2001084,HS203,,,,
2001088,MA305,,,,
2001116,MA305,CS361,HS203,Cs235,
2001119,HS203,,,,
2001123,HS202, MA305,SC302,,
2001174,EC381,,,,
2001196,HS203,,,,
2001204,MA305,,,,
2101010,EC102,,,,
2101020,EC 103,,,,
2101047,EC103,,,,
2101049,HS206,,,,
2101053,Cs235,Cs240,,CS103,
2101061,HS206,,,,
2101065,cs231,,,,
2101080,MA204,CS231,EC243,,
2101092,EC103,,,,
2101101,CS231,EC243,MA204,,CS104
2101106,MA204,,,,
2101112,MA204,,,,
2101113,CS101,MA205,Cs240,,Cs231
2101119,CS231,,,,
2101122,CS235,,,,
2101131,CS240,CS235,,,
2101138,CS231,,,,
2101143,CS231,CS235,,,
2101156,CS103,CS231,,,
2101159,CS235,,,,
2101160,MA204,EC243,,,
2101167,CS240,CS235,,,
2101181,MA204,EC243,CS231,,
2101182,CS231,,,,
2101188,CS231,,,,
2101198,EC 251 ,MA 102,,,
2101201,EC 243,CS231,,,
2101203,MA102,CS231,,,
2101204,CS231,EC243,,,
2101213,CS231,,,,
2101216,CS231,CS235,,,
2101217,CS231,,,,
2101219,CS231,,,,
2101225,CS231,,,,
2101228,MA204,EC243,,,
2101233,CS231,,,,
2201006,MA102,EC103,CS104,,
2201007,CS104,MA102,CS103,,
2201015,MA102,CS103,,,
2201018,HS 201,EC 103,CS 103,,
2201020,MA102,CS103,CS104,EC103,HS 201
2201022,EC103,CS104,,,
2201031,MA102,CS104,CS103,,
2201041,Cs 104,Cs103,MA 102,Ec 103,
2201047,CS104,CS103,,,
2201049,MA102,EC103,CS104,CS103,HS102
2201057,CS104,CS103,,,
2201059,Cs 103,Ec103,Cs104,,
2201063,CS103,MA102,CS104,,
2201064,CS104,,,,
2201065,Cs104,,,,
2201066,CS104,,,,
2201070,EC 103,,,,
2201072,MA102,,,,
2201077,MA102,Cs104,Cs103,,
2201078,MA102,,,,
2201080,CS104,MA102,CS103,,
2201081,Cs-103,CS-104,,,
2201088,MA102,EC103,CS103,,
2201095,CS101,EC102,CS104,EC103,
2201100,CS103,CS104,EC103,HS201,MA102
2201113,Cs103,,,,
2201119,EC103,CS104,HS102,MA102,CS103
2201123,CS103,CS104,EC103,MA102,
2201125,MA102,,,,
2201131,CS103,CS104,,,
2201136,CS104,,,,
2201137,EC103,CS103,CS104,,
2201138,CS104,MA102,,,
2201145,CS104,CS103,EC103,HS201,
2201150,CS103,Cs104,Ec103,Ma102,
2201153,CS104,,,,
2201154,CS104,HS102,EC103,,
2201156,MA102,CS103,CS104,EC103,
2201157,Ec 103,,,,
2201160,CS103,EC103,MA102,,
2201162,CS103,,,,
2201166,CS103,CS104,MA102,,
2201167,CS104,MA102,,,
2201169,CS103,,,,
2201178,CS103,CS104,MA102,,
2201189,Cs104,Cs 103,Ma102,,
2201190,CS104,MA102,EC 103,,
2201193,CS104,MA102,CS103,,
2201206,CS103,CS104,,,
2201210,CS101,,,,
2201211,MA102,,,,
2201215,CS104,,,,
2201222,MA102,,,,
2201223,Cs103,,,,
2201227,EC103,CS103,CS104,,
2201228,Cs 104,MA 102,,,
2201239,Cs104,,,,
2201240,CS104,MA102,EC103,CS103,HSS 
2201242,MA102,CS103,CS104,EC103,
2201244,CS104,CS103,EC103,MA102,
